27/09/2017,-40.85,HARVIN SPICES HURSTVILLE NS AUS Card xx7113 Value Date: 23/09/2017
27/09/2017,-6.50,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 25/09/2017
27/09/2017,-4.00,SOUTHGATE GROUP AUSTRA SYDNEY  AUS Card xx7113 Value Date: 26/09/2017
27/09/2017,-10.00,Deli Ziosa Sydney NS AUS Card xx7113 Value Date: 25/09/2017
27/09/2017,-0.80,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 25/09/2017
27/09/2017,-430.00,BING LEE HURSTVILLE HURSTVILLE NS AUS Card xx7113 Value Date: 23/09/2017
27/09/2017,-4.00,LA CANTINA ON KENT SYDNEY NS AUS Card xx8731 Value Date: 25/09/2017
26/09/2017,-59.99,Direct Debit 142619 TPG Internet DH9Q0HB22EP-03GJKN
26/09/2017,-17.85,LUO & SONG CHICKEN QPS PEAKHURST  AUS Card xx8731 Value Date: 23/09/2017
26/09/2017,-34.76,PLINE PH SUTHERLAND SUTHERLAND  AUS Card xx8731 Value Date: 20/09/2017
26/09/2017,-9.51,UBER TRIP WJAQC HELP.U 14518236738 AU AUS Card xx8731 Value Date: 22/09/2017
26/09/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 22/09/2017
26/09/2017,-9.95,JB HI FI MIRANDA MIRANDA NS AUS Card xx7113 Value Date: 21/09/2017
26/09/2017,-27.50,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 22/09/2017
26/09/2017,-3.95,PHARMACY DEPOT HURSQPS HURSTVILLE  AUS Card xx7113 Value Date: 23/09/2017
26/09/2017,-7.16,ROMEOS FOODHALL SUTHER SUTHERLAND  AUS Card xx7113 Value Date: 25/09/2017
26/09/2017,-485.00,Transfer to other Bank NetBank Rent President Ave
25/09/2017,-99.95,Direct Debit 142619 TPG Internet DH9M1IFK4EH-03GJKN
25/09/2017,-500.00,Wdl ATM CBA ATM  WYNYARD A      NSW 200901   AUS
23/09/2017,-4.50,LONGO GROUP PTY LTD GYMEA  AUS Card xx8731 Value Date: 22/09/2017
23/09/2017,-12.87,PRICERIGHT VARIETY & SUTHERLAND NS AUS Card xx8731 Value Date: 20/09/2017
23/09/2017,-19.53,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 21/09/2017
23/09/2017,-4.50,SQ *WHITE HORSE COFFEE Sutherland NS AUS Card xx8731 Value Date: 21/09/2017
23/09/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 21/09/2017
23/09/2017,-4.50,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 20/09/2017
23/09/2017,-2.76,PLINE PH SUTHERLAND SUTHERLAND  AUS Card xx7113 Value Date: 19/09/2017
23/09/2017,-50.00,TRANSPORT FOR NSW SYDNEY  AUS Card xx7113 Value Date: 21/09/2017
23/09/2017,-12.00,GUZMAN Y GOMEZ MLC QPS SYDNEY  AUS Card xx7113 Value Date: 21/09/2017
22/09/2017,-79.99,"Direct Debit 119218 VODAFONE T3,D11E5,1E"
22/09/2017,-10.00,Crafty Cuts Sydney NS AUS Card xx7113 Value Date: 20/09/2017
22/09/2017,-40.00,TRANSPORT FOR NSW SYDNEY  AUS Card xx8731 Value Date: 20/09/2017
21/09/2017,-9.67,UBER TRIP IUFLJ HELP.U 14518236738 AU AUS Card xx8731 Value Date: 18/09/2017
21/09/2017,-14.68,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 19/09/2017
21/09/2017,-10.00,Deli Ziosa Sydney NS AUS Card xx7113 Value Date: 19/09/2017
21/09/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 19/09/2017
21/09/2017,-73.25,POST   SUTHERLAND PO SUTHERLAND  AUS Card xx7113 Value Date: 18/09/2017
21/09/2017,-19.90,FORTUNATO & CO P L SUTHERLAND NS AUS Card xx7113 Value Date: 15/09/2017
20/09/2017,-9.90,JUST FALAFEL CENTRAL HAYMARKET  AUS Card xx8731 Value Date: 19/09/2017
20/09/2017,-5.80,SUSHI HUB BROADWAY SYDNEY NS AUS Card xx8731 Value Date: 18/09/2017
20/09/2017,-12.39,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 18/09/2017
20/09/2017,-45.80,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 17/09/2017
20/09/2017,-4.00,DAVID TRACY NSW PTY SYDNEY  AUS Card xx7113 Value Date: 19/09/2017
19/09/2017,-39.00,BIG W 0182 HURSTVILLE  AUS Card xx8731 Value Date: 17/09/2017
19/09/2017,-9.97,UBER   *TRIP 6VFP2 SYDNEY NS AUS Card xx8731 Value Date: 15/09/2017
19/09/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 18/09/2017
19/09/2017,-5.20,CTX SYLVANIA HEIGHTS SYLVANIA  AUS Card xx8731 Value Date: 15/09/2017
19/09/2017,-62.17,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 16/09/2017
19/09/2017,-8.24,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 15/09/2017
19/09/2017,-10.00,TASTE OF LEBANON HRS HURSTVILLE NS AUS Card xx7113 Value Date: 14/09/2017
19/09/2017,-8.00,FRANK AND BLANCO PL SUTHERLAND  AUS Card xx7113 Value Date: 17/09/2017
19/09/2017,-7.16,ROMEOS FOODHALL SUTHER SUTHERLAND  AUS Card xx7113 Value Date: 18/09/2017
16/09/2017,-3.50,LONGO GROUP PTY LTD GYMEA  AUS Card xx8731 Value Date: 15/09/2017
16/09/2017,-138.57,GoGetCarshare HAYMARKET NS AUS Card xx7113 Value Date: 14/09/2017
16/09/2017,-100.00,REMOVALIST GROUP PL CHIPPING NORT NS AUS Card xx7113 Value Date: 14/09/2017
16/09/2017,-6.00,Deli Ziosa Sydney NS AUS Card xx7113 Value Date: 14/09/2017
16/09/2017,-22.00,BIG W 0182 HURSTVILLE  AUS Card xx7113 Value Date: 14/09/2017
16/09/2017,-4.50,FRANK AND BLANCO PL SUTHERLAND  AUS Card xx7113 Value Date: 15/09/2017
15/09/2017,-400.00,Wdl ATM CBA ATM  SUTHERLAND     NSW 225901   AUS
15/09/2017,-16.00,LAMB & CUMIN AUSTRAL CONDELL PARK NS AUS Card xx8731 Value Date: 13/09/2017
15/09/2017,-24.22,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 13/09/2017
14/09/2017,-4.50,FRANK AND BLANCO PL SUTHERLAND  AUS Card xx7113 Value Date: 13/09/2017
14/09/2017,-9.00,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 09/09/2017
14/09/2017,-14.50,TRUPT PL EDMONDSON PAR  AUS Card xx7113 Value Date: 09/09/2017
14/09/2017,-13.04,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 12/09/2017
14/09/2017,-12.39,CHEMIST WAREHOUSE HURSTVILLE NS AUS Card xx8731 Value Date: 11/09/2017
14/09/2017,-8.97,OFFICEWORKS 0251 SYDNEY AU AUS Card xx8731 Value Date: 12/09/2017
14/09/2017,-49.98,CITY BEACH HURSTVILLE NS AUS Card xx8731 Value Date: 11/09/2017
14/09/2017,-11.90,PATTAN SUPERMARKET HARRIS PARK  AUS Card xx8731 Value Date: 09/09/2017
14/09/2017,-40.00,TRANSPORT FOR NSW SYDNEY  AUS Card xx8731 Value Date: 12/09/2017
13/09/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 12/09/2017
13/09/2017,-20.00,BEST & LESS HURSTVILLE  AUS Card xx8731 Value Date: 11/09/2017
13/09/2017,-22.00,DANCEKOOL PTY LTD HAYMARKET  AUS Card xx8731 Value Date: 12/09/2017
13/09/2017,-18.06,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 11/09/2017
13/09/2017,-24.18,MIRCHI HURSTVILLE IN HURSTVILLE NS AUS Card xx8731 Value Date: 11/09/2017
13/09/2017,-10.00,Deli Ziosa Sydney NS AUS Card xx7113 Value Date: 11/09/2017
13/09/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 11/09/2017
13/09/2017,-6.99,LITTLE INDIA - HARRIS HARRIS PARK NS AUS Card xx7113 Value Date: 09/09/2017
13/09/2017,-17.99,Netflix.com Melbourne AU AUS Card xx7113 Value Date: 09/09/2017
13/09/2017,-11.42,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 10/09/2017
12/9/2017,-10.99,UBER   *TRIP 7GVI6 SYDNEY NS AUS Card xx8731 Value Date: 07/09/2017
12/9/2017,-10.32,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 08/09/2017
12/9/2017,-13.41,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 03/09/2017
12/9/2017,-10.77,UBER   *TRIP H72CA SYDNEY NS AUS Card xx8731 Value Date: 08/09/2017
12/9/2017,-2.50,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 08/09/2017
12/9/2017,-5.00,DOLLAR KING AUSTRALQPS BURWOOD  AUS Card xx8731 Value Date: 11/09/2017
12/9/2017,-10.00,SUNSHINE 11 PTY LTD MARTIN PLACE NS AUS Card xx7113 Value Date: 07/09/2017
12/9/2017,-8.30,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 08/09/2017
12/9/2017,-22.30,CHATKAZZ PTY LTD HARRIS PARK  AUS Card xx7113 Value Date: 09/09/2017
12/9/2017,-19.96,BUNNINGS 724000    QPS KIRRAWEE  AUS Card xx7113 Value Date: 10/09/2017
11/9/2017,-518.56,Direct Debit 401938 ORIGIN ELEC 052004131315
9/9/2017,-100.00,Wdl ATM CBA ATM  SUTHERLAND     NSW 225901   AUS
9/9/2017,-10.00,SUNSHINE 11 PTY LTD MARTIN PLACE NS AUS Card xx7113 Value Date: 06/09/2017
9/9/2017,-7.73,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 07/09/2017
9/9/2017,-3.80,CAFE 2232 SUTHERLAND NS AUS Card xx8731 Value Date: 06/09/2017
8/9/2017,-4.50,LONGO GROUP PTY LTD GYMEA  AUS Card xx8731 Value Date: 07/09/2017
8/9/2017,-4.00,BEANS AND BALLS SYDNEY NS AUS Card xx7113 Value Date: 06/09/2017
8/9/2017,-11.90,Crafty Cuts Sydney NS AUS Card xx7113 Value Date: 06/09/2017
8/9/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 06/09/2017
8/9/2017,-10.00,SUNSHINE 11 PTY LTD MARTIN PLACE NS AUS Card xx7113 Value Date: 05/09/2017
7/9/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent
7/9/2017,-7.00,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 05/09/2017
7/9/2017,-59.90,SHOE BOX -MARRICKVILLE MIRANDA  AUS Card xx8731 Value Date: 03/09/2017
7/9/2017,-8.99,PLINE PH SUTHERLAND SUTHERLAND  AUS Card xx8731 Value Date: 03/09/2017
7/9/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 05/09/2017
7/9/2017,-4.50,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 04/09/2017
7/9/2017,-9.00,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 03/09/2017
6/9/2017,-12.09,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 04/09/2017
6/9/2017,-40.00,7-ELEVEN 2071 HAYMAR SYDNEY NS AUS Card xx8731 Value Date: 04/09/2017
6/9/2017,-59.98,CITY BEACH MIRANDA NS AUS Card xx8731 Value Date: 03/09/2017
6/9/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 05/09/2017
6/9/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 04/09/2017
5/9/2017,-11.00,UBER TRIP G2UCN HELP.U 14518236738 AU AUS Card xx8731 Value Date: 01/09/2017
5/9/2017,-81.35,CHEMIST WAREHOUSE HURSTVILLE NS AUS Card xx8731 Value Date: 31/08/2017
5/9/2017,-29.95,CRONULLA DECISIONS P CRONULLA  AUS Card xx8731 Value Date: 03/09/2017
5/9/2017,-9.00,CAFE 2232 SUTHERLAND NS AUS Card xx8731 Value Date: 01/09/2017
5/9/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 04/09/2017
5/9/2017,-16.66,BUNNINGS 724000    QPS KIRRAWEE  AUS Card xx7113 Value Date: 02/09/2017
4/9/2017,"-1,940.00",NSW RENTAL BONDS     NetBank BPAY 209999 65100019873341 Rental Bond
2/9/2017,-3.99,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 31/08/2017
2/9/2017,-9.00,OPORTO RESTAURANT HU HURSTVILLE NS AUS Card xx8731 Value Date: 31/08/2017
2/9/2017,-13.36,OK SUPERMARKET HURST HURSTVILLE NS AUS Card xx8731 Value Date: 31/08/2017
2/9/2017,-10.00,COLES 0782 HURSTVILLE AU AUS Card xx8731 Value Date: 31/08/2017
2/9/2017,-36.15,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 30/08/2017
2/9/2017,-21.50,BWS LIQUOR W1484 SUTHERLAND  AUS Card xx8731 Value Date: 31/08/2017
2/9/2017,-3.30,GPBM PTY LTD SYDNEY NS AUS Card xx7113 Value Date: 31/08/2017
2/9/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 31/08/2017
2/9/2017,-9.00,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 30/08/2017
1/9/2017,-970.00,Transfer to other Bank NetBank DepoRef 0420416163
1/9/2017,-39.95,VICTORIAS BASEMENT SYDNEY NS AUS Card xx8731 Value Date: 29/08/2017
1/9/2017,-4.50,LONGO GROUP PTY LTD GYMEA  AUS Card xx8731 Value Date: 31/08/2017
1/9/2017,-19.80,UNIQLO SYDNEY NS AUS Card xx8731 Value Date: 29/08/2017
1/9/2017,-4.50,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 29/08/2017
31/08/2017,-100.00,Wdl ATM CBA ATM  WYNYARD D      NSW 200904   AUS
31/08/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent
31/08/2017,-9.00,CAFE 2232 SUTHERLAND NS AUS Card xx8731 Value Date: 26/08/2017
31/08/2017,-4.50,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 27/08/2017
31/08/2017,-20.50,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 26/08/2017
31/08/2017,-3.50,TASTE BAGUETTE HURST HURSTVILLE NS AUS Card xx7113 Value Date: 26/08/2017
30/08/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 29/08/2017
30/08/2017,-4.20,JOE AND THE JUICE SY SYDNEY NS AUS Card xx7113 Value Date: 28/08/2017
30/08/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 28/08/2017
30/08/2017,-11.77,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 27/08/2017
30/08/2017,-21.50,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 27/08/2017
30/08/2017,-20.33,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 26/08/2017
30/08/2017,-6.40,BREADTOP TOWNHALL PT SYDNEY  AUS Card xx7113 Value Date: 29/08/2017
29/08/2017,-44.00,85 DEGREES COFFEE HAYMARKET  AUS Card xx8731 Value Date: 28/08/2017
29/08/2017,-10.58,UBER TRIP 2NTE2 HELP.U 14518236738 AU AUS Card xx8731 Value Date: 25/08/2017
29/08/2017,-40.00,TRANSPORT FOR NSW SYDNEY  AUS Card xx8731 Value Date: 27/08/2017
29/08/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 28/08/2017
29/08/2017,-19.23,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 25/08/2017
29/08/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 25/08/2017
29/08/2017,-5.59,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 24/08/2017
29/08/2017,-12.90,STIR CRAZY MLC SYDNEY  AUS Card xx7113 Value Date: 24/08/2017
28/08/2017,-59.99,Direct Debit 142619 TPG Internet DH8R0HCKHEJ-03GJKN
26/08/2017,-4.50,LONGO GROUP PTY LTD GYMEA  AUS Card xx8731 Value Date: 25/08/2017
26/08/2017,-12.61,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 24/08/2017
26/08/2017,-4.00,LOT 1 SYDNEY SYDNEY NS AUS Card xx7113 Value Date: 23/08/2017
26/08/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 24/08/2017
26/08/2017,-50.00,TRANSPORT FOR NSW SYDNEY  AUS Card xx7113 Value Date: 24/08/2017
26/08/2017,-13.80,KOKO BLACK AUSTRALIA SYDNEY  AUS Card xx7113 Value Date: 24/08/2017
25/08/2017,-12.00,LITTLE VIENNA PTY LT SYDNEY NS AUS Card xx7113 Value Date: 23/08/2017
25/08/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 23/08/2017
24/08/2017,-79.99,"Direct Debit 119218 VODAFONE T3,CBA8D,2F"
24/08/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent
24/08/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 22/08/2017
24/08/2017,-4.00,GPBM PTY LTD SYDNEY NS AUS Card xx7113 Value Date: 22/08/2017
24/08/2017,-3.80,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 19/08/2017
24/08/2017,-16.00,Happy as Larry Sydney NS AUS Card xx7113 Value Date: 22/08/2017
24/08/2017,-10.00,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 20/08/2017
24/08/2017,-42.99,MILLERS 114 HURSTVILLE NS AUS Card xx8731 Value Date: 21/08/2017
24/08/2017,-7.60,CAFE 2232 SUTHERLAND NS AUS Card xx8731 Value Date: 19/08/2017
24/08/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 23/08/2017
23/08/2017,-5.80,SUSHI HUB BROADWAY SYDNEY NS AUS Card xx8731 Value Date: 21/08/2017
23/08/2017,-12.00,BEST & LESS HURSTVILLE  AUS Card xx8731 Value Date: 21/08/2017
23/08/2017,-8.90,MAD MEX 815 GEORGE S HAYMARKET  AUS Card xx8731 Value Date: 22/08/2017
23/08/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 21/08/2017
22/08/2017,-11.07,UBER TRIP IWR4U HELP.U 14518236738 AU AUS Card xx8731 Value Date: 18/08/2017
22/08/2017,-10.93,ROMEOS FOODHALL SUTHER SUTHERLAND  AUS Card xx8731 Value Date: 19/08/2017
22/08/2017,-40.00,TRANSPORT FOR NSW SYDNEY  AUS Card xx8731 Value Date: 20/08/2017
22/08/2017,-16.47,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 19/08/2017
22/08/2017,-11.36,UBER   *TRIP W2Q24 SYDNEY NS AUS Card xx8731 Value Date: 17/08/2017
22/08/2017,-7.90,GLOSS ACCESSORIES PTY HURSTVILLE  AUS Card xx8731 Value Date: 21/08/2017
22/08/2017,-57.85,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 18/08/2017
22/08/2017,-4.50,BIANCHINI'S ESPRESSO GYMEA NS AUS Card xx8731 Value Date: 18/08/2017
22/08/2017,-16.99,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 18/08/2017
22/08/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 18/08/2017
22/08/2017,-59.00,LIQUORLAND 3403 SUTHERLAND AU AUS Card xx7113 Value Date: 19/08/2017
22/08/2017,-1.85,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 19/08/2017
19/08/2017,-25.00,LEFT BOWER CAFE       SUTHERLAND   NSWAU
19/08/2017,-4.00,GPBM PTY LTD SYDNEY NS AUS Card xx7113 Value Date: 17/08/2017
19/08/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 17/08/2017
19/08/2017,-7.50,X-OPORTO SYDNEY CENQPS SYDNEY  AUS Card xx7113 Value Date: 18/08/2017
18/08/2017,-16.29,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 16/08/2017
18/08/2017,-13.12,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 15/08/2017
